f	page	initiator	type	public/private	preciseLoc	comments	subject	recipient	present
833	192	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Il le fit marcher íæ son cíÇtí© jusqu'íæ chez la Reine et chez Madame (Elizabeth)	Le Duc d'Albe	Le Duc d'Albe	Catherine de Médicis, Elisabeth (fille de France)
834	192	Le Duc d'Albe	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Le Duc D'Albe apporta un prí©sent magnifique de la part de son maí¬tre	Le Roi d'Espagne, Elisabeth (fille de France)	Elisabeth (fille de France)	La cour
835	192	Le Duc d'Albe	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Il alla chez Madame Marguerite"	Marguerite de France, Monsieur de Savoie	Marguerite de France	La cour
836	192	impersonal character	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Total chaos here: "ON fit de grandes assemblí©es pour FAIRE VOIR au duc d'Albe et au Prince d'Orange [...] les bí©autí©s de la cour"	La cour, Le Duc d'Albe, Prince d'Orange	La cour, Le Duc d'Albe, Prince d'Orange	La cour
837	192	M. de Clèves	verbal exchange narrated by the narrator	Private	Location unspecified	He demands she go to court	Mme de Clèves	Mme de Clèves	No one else present
838	193	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Monsieur de Savoie, Monsieur de Savoie	La cour
839	193	Vidame	verbal exchange narrated by the narrator	Private	Location unspecified		Nemours	Mme de Martigues	No one else present
840	193	La Dauphine	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	la dauphine donne a souper au Roi et a la duchesse	Valentinois, Le Roi (Henri II), La Dauphine	Valentinois, Le Roi (Henri II)	unspecified
841	193	un gentilhomme de la dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Valentinois	Mme de Clèves	unspecified
842	193	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves	Mme de Clèves	unspecified
843	194	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	in dauphine's quarters	Mme de Clèves, La Dauphine	Valentinois	unspecified
844	194	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours	Mme de Clèves	unspecified
845	194	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours	La Dauphine	unspecified
846	194	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours	Mme de Clèves	unspecified
847	195	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours	La Dauphine	unspecified
848	195	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Chez la dauphine	Nemours, Vidame, Mme de Martigues	Mme de Clèves	unspecified
849	195	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours	Mme de Clèves	Duc de Nemours, unspecified
850	195	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours, Vidame	La Dauphine	Duc de Nemours
851	195	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Mme de Clèves, La Dauphine	La Dauphine	Mme de Clèves, unspecified
852	196	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Chez la dauphine	Mme de Clèves, Nemours	Nemours	Mme de Clèves, unspecified
853	196	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours	Mme de Clèves	Duc de Nemours, unspecified
854	196	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours, Valentinois, Vidame	La Dauphine	Mme de Clèves
855	197	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dapuphine	Nemours	Nemours	Mme de Clèves, unspecified
856	197	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dapuhine	"l'ami" que Nemours invoque pour cacher que c'est lui	La Dauphine	Mme de Clèves, unspecified
857	197	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours, imaginary friend of Nemours	Nemours	Mme de Clèves, unspecified
858	198	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la dauphine	Nemours, imaginary friend of Nemours	Nemours, La Dauphine	unspecified
859	198	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Chez la dauphine	M. de Clèves	Mme de Clèves	La Dauphine, unspecified
860	198	Valentinois	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Chez la dapuhine	Le Roi (Henri II), La Dauphine	La Dauphine	Mme de Clèves, Duc de Nemours
861	198	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves, Nemours, La Dauphine	Mme de Clèves	Valentinois, La Dauphine
862	198	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Elle se mit íæ suivre le Roi	Mme de Clèves	Le Roi (Henri II)	Duc de Nemours, Valentinois, La Dauphine
863	198	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	On lui dit l'accident {de la princesse}	Mme de Clèves	M. de Clèves	La cour
864	199	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves	Mme de Clèves	No one else present
865	199	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours, La Dauphine, La cour	M. de Clèves	No one else present
866	199	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
867	199	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours, La Dauphine, Vidame	M. de Clèves	No one else present
868	200	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, Mme de Chartres, Nemours	Mme de Clèves	No one else present
869	200	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours, Vidame	M. de Clèves	No one else present
870	200	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours	Mme de Clèves	No one else present
871	200	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
872	201	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours, La cour	Mme de Clèves	No one else present
873	204	La cour	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi d'Espagne, Elisabeth (fille de France), Monsieur de Savoie, Le Duc d'Albe	La cour	Mme de Clèves, Duc de Nemours
874	205	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, Vidame	Mme de Clèves	unspecified
875	205	Toute la maison royale	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	L'Evéché		Toute la maison royale	Toute la maison royale	unspecified
876	205	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	L'Eglise	Le Roi menait Madame, la longue suite qui l'accompagne	Le Roi d'Espagne, Elisabeth (fille de France)	Le Roi (Henri II), Catherine de Médicis, Marguerite de France, Mademoiselle de Montpensier, Mademoiselle de Longueville, Le Duc d'Albe, Les filles des reines et princesses, Reine de Navarre	unspecified
877	205	Catherine de Médicis	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	L'Eglise		La Dauphine, Catherine de Médicis, Elisabeth (fille de France), Marguerite de France, Les filles des reines et princesses	Les filles des reines et princesses	unspecified
878	205	impersonal character	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	L'Eglise	On monta sur l'í©chafaud qui í©tait prí©parí© dans L'Eglise	impersonal character	impersonal character	unspecified
879	205	impersonal character	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	L'Evéché	On retourna ensuite diner íæ l'í©ví©chí©	impersonal character	impersonal character	unspecified
880	205	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	on en partit pour aller au palais, ou se faisait le festin, et ou le Parlement, les cours souveraines et la Maison de Ville etaient pries d'assister.	impersonal character	La Maison de Ville, Messieurs du Parlement, les cours souveraines	La cour, Messieurs du Parlement, La Maison de Ville, les cours souveraines
881	205	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Dans la grande salle du palais	Le festin (205)	Le Roi (Henri II), La Dauphine, Catherine de Médicis, Elisabeth (fille de France), Monsieur le Dauphin, Le Prince de Montpensier, Marguerite de France, Prince de Condé, Le Duc d'Albe	Le Roi (Henri II), La Dauphine, Catherine de Médicis, Marguerite de France, Prince de Condé, Le Duc d'Albe	Messieurs du Parlement, La Maison de Ville, les cours souveraines
882	206	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, Le Roi (Henri II), M. de Guise, M. de Guise, Prince de Condé	Nemours, M. de Guise, Prince de Condé	La Dauphine, Catherine de Médicis, Monsieur le Dauphin, Elisabeth (fille de France), La cour
883	206	Le Roi (Henri II)	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	ApríÂs minuit, le Roi et toute sa cour s'en retourna au Louvre	Le Roi (Henri II), La cour	La cour	unspecified
884	206	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Nemours, La cour	unspecified
885	206	Catherine de Médicis	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	Les Reines se rendirent  dans les galeries et sur les echafauds	La Dauphine, Catherine de Médicis, Elisabeth (fille de France), Marguerite de France	La Dauphine, Catherine de Médicis, Marguerite de France	unspecified
886	206	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Nemours, Le Roi (Henri II), M. de Guise, M. de Guise, Duc de Ferrare, Duc de Ferrare	Nemours, Le Roi (Henri II), M. de Guise, Duc de Ferrare	La cour
887	206	Nemours	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	He's wearing the colors that are not her colors but that she recognizes	Mme de Clèves	Mme de Clèves	La cour
888	207	impersonal character	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Nemours, Le Roi (Henri II)	impersonal character	La cour
889	207	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Nemours	Nemours	La cour
890	207	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Comte de Montgomery	Comte de Montgomery, Comte de Montgomery	La cour
891	207	Comte de Montgomery	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Le Roi (Henri II)	Le Roi (Henri II)	La cour
892	207	Catherine de Médicis	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Le Roi (Henri II)	Le Roi (Henri II)	La cour
893	207	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Catherine de Médicis	recipients unspecified	La cour
894	207	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Le Roi (Henri II)	Monsieur de Savoie, Monsieur de Savoie	La cour
895	207	Le Roi (Henri II)	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Le Roi (Henri II), Comte de Montgomery	Comte de Montgomery, Comte de Montgomery	La cour
896	207	Le Roi (Henri II)	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Le Roi (Henri II)	Connétable de Montmorency, Les écuyers du Roi	La cour
897	208	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Comte de Montgomery	La cour	La cour
898	208	Les Chirurgiens	verbal exchange narrated by the narrator	Private	At court but in private quarters	In the king's bed	Le Roi (Henri II)	recipients unspecified	unspecified
899	208	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Abroad	King of Spain in Bruxelles	Le Roi (Henri II)	Le Roi d'Espagne	unspecified
900	208	Le Roi d'Espagne	non-verbal exchange narrated by the narrator	unspecified	At court but in private quarters		Le Roi (Henri II), mí©decin du Roi d'Espagne	Le Roi (Henri II)	La cour
901	208	Catherine de Médicis	physical exchange	Private	At court but in private quarters		Le Roi (Henri II)	La Dauphine, Catherine de Médicis, Monsieur le Dauphin, Prince de Montpensier, Marguerite de France	unspecified
902	208	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Le Roi (Henri II)	Mme de Clèves	No one else present
903	209	Le Roi (Henri II)	non-verbal exchange narrated by the narrator	Private	At court but in private quarters	Le Roi (Henri II) fit faire le mariage de sa soeur et le Duc d Savoie	Marguerite de France, Monsieur de Savoie	recipients unspecified	La cour
904	209	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	La reine ne permit pas a la duchesse de voir le Roi	Le Roi (Henri II)	Valentinois	La cour
905	209	Valentinois	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi (Henri II)	Catherine de Médicis	La cour
906	209	Catherine de Médicis	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, M. de Guise, M. de Guise, Duc de Ferrare, Duc de Ferrare	Catherine de Médicis	La cour
907	209	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		La Dauphine	Nemours, La Dauphine, M. de Guise, Duc de Ferrare	La cour
908	210	Cardinal de Lorraine	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Catherine de Médicis	Catherine de Médicis	La cour
909	211	Cardinal de Lorraine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Catherine de Médicis	Catherine de Médicis	unspecified
910	211	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Paris	Elle commande au Conní©table de rester avec le Roi aux Tournelles	Le Roi (Henri II)	Connétable de Montmorency	Le Roi (Henri II)
911	211	Le Roi (Henri II)	exchange of objects	Private	Location unspecified	Le conní©table envoie une lettre au Roi de Navarre pour le prí©venir des changements íæ la cour	Catherine de Médicis, M. de Guise, M. de Guise	Le Roi de Navarre	No one else present
912	211	impersonal character	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	On donna le commandement des armí©es au Duc de Guise et des armees au Cardinal de Lorraine	Cardinal de Lorraine, M. de Guise, M. de Guise	Chevalier Guise, M. de Guise	La cour
913	211	impersonal character	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	La Duchesse de Valentinois fut chassee de la cour	Valentinois	Valentinois	La cour
914	211	impersonal character	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	On fit revenir le Cardinal de Tournon et le Chancelier Olivier	Le cardinal de Tournon, Le Chancelier Olivier	Le cardinal de Tournon, Le chancelier Olivier	La cour
915	211	M. de Guise	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Le duc de Guise prit le meme rang que les princes du sang íæ porter le mandeau du Roi au ceremonies des funerailles	M. de Guise, M. de Guise	Le Roi (Henri II)	les princes de sang
916	212	Connétable de Montmorency	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Monsieur le Dauphin, Connétable de Montmorency	Monsieur le Dauphin	Monsieur de Guise, Monsieur de Guise
917	212	Connétable de Montmorency	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi (Henri II), Connétable de Montmorency	Catherine de Médicis	La cour
918	212	Le Roi de Navarre	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi de Navarre	Catherine de Médicis	La cour
919	212	Prince de Condé	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Catherine de Médicis, M. de Guise, M. de Guise	recipients unspecified	La cour
920	212	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi d'Espagne, Elisabeth (fille de France), Le Roi de Navarre	Le Roi de Navarre	La cour
921	213	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		La cour	M. de Clèves	No one else present
922	213	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Mme de Clèves, La cour	Mme de Clèves	No one else present
923	213	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	Nemours alla chez elle aussi tard que la bienseance le pouvait permettre.	Mme de Clèves	Mme de Clèves	No one else present
924	213	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	Nemours runs into the two ladies in the princesse's courtyard	Mme de Clèves	Mme de Martigues, Madame de Nevers	No one else present
925	213	impersonal character	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Nemours	Mme de Clèves	unspecified
926	213	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Nemours	une des femmes de la princesse	Duc de Nemours
927	214	Mme de Martigues	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Madame de Nevers and Martigues go to Dauphine's chambers where Monsieur de Clèves is.	La Dauphine	Mme de Martigues, Madame de Nevers	M. de Clèves
928	214	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Chez la dauphine	Mesdames de Nevers et de Martigues	Mme de Martigues, Madame de Thémines	M. de Clèves
929	214	Mme de Martigues	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves, Nemours	La Dauphine	M. de Clèves
930	215	M. de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Nemours	Mme de Clèves	No one else present
931	215	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris	ils discutíÂrent des choses indiffí©rentes et de qui elle avait vu	Non-person subject, Mesdames de Nevers et de Martigues	M. de Clèves	No one else present
932	215	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Nemours	Mme de Clèves	No one else present
933	215	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Nemours	M. de Clèves	No one else present
934	215	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Nemours	Mme de Clèves	No one else present
935	215	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Nemours	M. de Clèves	No one else present
936	216	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Nemours, La cour	Mme de Clèves	No one else present
937	216	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
938	216	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves, Nemours, La Dauphine	Mme de Clèves	No one else present
939	217	M. de Clèves	exchange of objects	Private	Home of Clèves in Paris	Le prince í©crit une lettre íæ sa femme	Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
940	217	Mme de Clèves	exchange of objects	Private	Home of Clèves in Paris	La princesse rí©pond íæ son mari par une lettre	Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
941	217	Mme de Clèves	exchange of objects	Private	Country Home of Clèves	Elle prend le tableau du siíÂge de Metz íæ Coulomiers	Nemours, Valentinois, Le Roi (Henri II)	Nemours	No one else present
942	220	Mme de Martigues	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	Madame de Martigues rend visite íæ la princesse íæ Coulomiers	Mme de Clèves	Mme de Clèves	No one else present
943	218	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	Princesse et Martigues se parlent	unspecified	Mme de Martigues	No one else present
944	219	Mme de Martigues	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Martigues goes to see Vidame íæ Chambord	Vidame	La cour	unspecified
945	219	Cardinal de Lorraine	exchange of objects	Public (in a public space such as court, where there is no expectation of intimacy)	Cathí©drale de Reims	Cardinal de Lorraine avait fait le sacre íæ Reims	Monsieur le Dauphin	Monsieur le Dauphin	La cour
946	219	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Martigues	M. de Clèves, Duc de Nemours
947	219	Mme de Martigues	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	La Dauphine	M. de Clèves, Duc de Nemours
948	219	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Martigues	M. de Clèves
949	219	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Nemours demande la permission au Roi de retourner íæ Paris	Nemours	Monsieur le Dauphin	M. de Clèves, La cour
950	220	M. de Clèves	verbal exchange narrated by the narrator	Private	Court		Mme de Clèves, Nemours	Gentilhomme de M. de Clèves	No one else present
951	220	Gentilhomme de M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Un village príÂs de Couloumiers		Nemours	Nemours	No one else present
952	220	Gentilhomme de M. de Clèves	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves		Nemours	Nemours	Mme de Clèves
953	220	Nemours	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves		Mme de Clèves	Mme de Clèves	Gentilhomme de M. de Clèves
954	221	Nemours	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves		Mme de Clèves	Mme de Clèves	Gentilhomme de M. de Clèves
955	222	Nemours	physical exchange	Private	Country Home of Clèves	l'í©charpe attrapí©e dans la porte	Mme de Clèves	Mme de Clèves	Gentilhomme de M. de Clèves
956	222	Mme de Clèves	verbal exchange narrated by the narrator	Private	Country Home of Clèves		Mme de Clèves	les femmes de la princesse	Duc de Nemours, les femmes de la princesse
957	222	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves		Mme de Clèves	Nemours	les femmes de la princesse
958	223	Nemours	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves	On ferma les feníÈtres	impersonal character	impersonal character	No one else present
959	223	Gentilhomme de M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	il le suivit jusqu'au meme village	Nemours	Nemours	unspecified
960	225	Gentilhomme de M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	Il le suivit dí©guisí©	Nemours	Nemours	No one else present
961	225	Nemours	physical exchange	Private	Chez Mme de Mercoeur	Il alla chez Chez Mme de Mercoeur	Nemours	Mercoeur	No one else present
962	225	Nemours	verbal exchange narrated by the narrator	Private	Chez Mme de Mercoeur		Mme de Clèves	Mercoeur	No one else present
963	225	Nemours	verbal exchange narrated by the narrator	Private	Chez Mme de Mercoeur		Le Roi (Henri II)	Mercoeur	No one else present
964	226	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	La vue de Monsieur de Nemours ne lui causa pas un mí©diocre trouble	Mme de Clèves, Nemours	Nemours	La Duchesse de Mercoeur
965	226	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		non-specified	Mme de Clèves	La Duchesse de Mercoeur
966	226	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Non-person subject, le pavillon íæ Couloumiers	Mme de Clèves, Mercoeur	No one else present
967	226	Chez Mme de Mercoeur	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Nemours	Mme de Clèves, Nemours	No one else present
968	226	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Nemours	Nemours, Mercoeur	No one else present
969	226	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Nemours	Mme de Clèves	La Duchesse de Mercoeur
970	226	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Mme de Clèves, Nemours	Nemours	La Duchesse de Mercoeur
971	226	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Mme de Clèves, Nemours	Mme de Clèves	La Duchesse de Mercoeur
972	227	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		unspecified	Mercoeur	Duc de Nemours
973	227	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		La Duchesse de Mercoeur	Mercoeur	Duc de Nemours
974	227	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	Monsieur de Nemours palí¬t	Nemours	Mme de Clèves, Mercoeur	No one else present
975	227	Chez Mme de Mercoeur	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Nemours	Nemours	Mme de Clèves
976	227	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	sans que personne s'en aperí_ut, il lui fit juger par ses regards qu'il n'avait d'autre mal que son dí©sespoir.	Mme de Clèves	Mme de Clèves	La Duchesse de Mercoeur
977	227	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves	Il fallut qu'il les laissait partir sans oser les suivre [elles partent]	Mme de Clèves, La Duchesse de Mercoeur	Mme de Clèves, Mercoeur	No one else present
978	227	Gentilhomme de M. de Clèves	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves	Gentilhomme watching Nemours	Nemours	Nemours	Mme de Clèves, La Duchesse de Mercoeur
979	227	M. de Clèves	non-verbal exchange narrated by the narrator	Private	Chambord	Cleves sees his gentilhomme and assumes the worst just by "juger de son visage"	M. de Clèves, Gentilhomme de M. de Clèves	Gentilhomme de M. de Clèves	No one else present
980	228	M. de Clèves	"Quoted" conversation	Private	Chambord		M. de Clèves	Gentilhomme de M. de Clèves	No one else present
981	228	Gentilhomme de M. de Clèves	"Quoted" conversation	Private	Chambord		Mme de Clèves, Nemours, La Duchesse de Mercoeur	M. de Clèves	No one else present
